topology,traffic_pattern,injection_rate,packets_injected,packets_received,avg_queueing_latency_ticks,avg_network_latency_ticks,avg_packet_latency_ticks,avg_packet_latency_cycles,avg_hops,reception_rate,avg_link_utilization
Ring,tornado,0.1,15978,15973,1000.0,2986.070244,3986.070244,3.986070244,1.48607,0.09983125,2.7847
Ring,tornado,0.12,19153,19147,1000.0,2988.327153,3988.327153,3.988327153,1.488327,0.11966875,3.34035
Ring,tornado,0.15,23925,23919,1000.0,2994.66951,3994.66951,3.99466951,1.49467,0.14949375,4.18025
Ring,tornado,0.18,28701,28694,1000.0,2993.343556,3993.343556,3.9933435559999997,1.493344,0.1793375,5.0128
Ring,tornado,0.2,31903,31895,1000.0,2994.685687,3994.685687,3.994685687,1.494686,0.19934375,5.5742
Ring,tornado,0.25,39978,39969,1000.0,2996.935125,3996.935125,3.996935125,1.496935,0.24980625,6.9896
Ring,tornado,0.3,48051,48038,1000.0,2999.021608,3999.021608,3.999021608,1.499022,0.3002375,8.4059
Ring,tornado,0.35,55929,55910,1000.0,3000.626006,4000.626006,4.000626006,1.500626,0.3494375,9.78835
Ring,tornado,0.4,63832,63812,1000.0,3000.564157,4000.564157,4.0005641569999995,1.500564,0.398825,11.1713
Ring,tornado,0.45,71789,71767,1000.0,2998.864381,3998.864381,3.9988643809999997,1.498864,0.44854375,12.55765
Ring,tornado,0.5,79723,79698,1000.0,2998.782905,3998.782905,3.998782905,1.498783,0.4981125,13.9453
Ring,transpose,0.01,1552,1549,1000.0,4961.265332,5961.265332,5.961265332,3.457069,0.00968125,0.4234
Ring,transpose,0.03,4787,4782,1000.0,5016.311167,6016.311167,6.016311167,3.501882,0.0298875,1.3164
Ring,transpose,0.05,8052,8046,1000.0,5003.417847,6003.417847,6.003417847,3.477256,0.0502875,2.2047
Ring,transpose,0.08,12766,12757,1000.0,5020.145802,6020.145802,6.020145802,3.476679,0.07973125,3.4949
Ring,transpose,0.1,15978,15969,1000.0,5033.784207,6033.784207,6.033784207,3.479178,0.09980625,4.37645
Ring,transpose,0.12,19153,19142,1000.0,5057.700345,6057.700345,6.057700345,3.492582,0.1196375,5.25915
Ring,transpose,0.15,23925,23913,1000.0,5070.0874,6070.0874,6.0700874,3.489232,0.14945625,6.5656
Ring,transpose,0.18,28701,28687,1000.0,5081.395754,6081.395754,6.081395754,3.483599,0.17929375,7.86815
Ring,transpose,0.2,31903,31888,1000.0,5097.372052,6097.372052,6.097372052,3.48846,0.1993,8.75365
Ring,transpose,0.25,39978,39961,1000.0,5133.442607,6133.442607,6.133442607,3.493831,0.24975625,10.98015
Ring,transpose,0.3,48051,48029,1000.0,5171.146599,6171.146599,6.171146599,3.495742,0.30018125,13.20185
Ring,transpose,0.35,55929,55899,1000.0,5209.690692,6209.690692,6.209690692000001,3.495286,0.34936875,15.3646
Ring,transpose,0.4,63832,63795,1000.0,5256.665883,6256.665883,6.256665882999999,3.493785,0.39871875,17.53125
Ring,transpose,0.45,71789,71749,1000.048781,5323.014955,6323.063736,6.323063736,3.49524,0.44843125,19.7218
Ring,transpose,0.5,79723,79676,1000.169436,5427.26166,6427.431096,6.427431096,3.499335,0.497975,21.91755
Ring,uniform_random,0.01,1556,1556,1000.0,5465.938303,6465.938303,6.465938303,3.958869,0.009725,0.4636
Ring,uniform_random,0.03,4777,4773,1000.0,5524.827153,6524.827153,6.524827153,3.998952,0.02983125,1.4325
Ring,uniform_random,0.05,8031,8023,1000.0,5496.634675,6496.634675,6.496634675,3.952761,0.05014375,2.38965
Ring,uniform_random,0.08,12776,12770,1000.0,5544.40094,6544.40094,6.54440094,3.975255,0.0798125,3.81625
Ring,uniform_random,0.1,15977,15969,1000.0,5591.051412,6591.051412,6.591051412,4.004196,0.09980625,4.79545
Ring,uniform_random,0.12,19153,19147,1000.0,5613.412023,6613.412023,6.6134120229999995,4.009401,0.11966875,5.75375
Ring,uniform_random,0.15,23833,23816,1000.0,5650.529056,6650.529056,6.650529056,4.022128,0.14885,7.1743
Ring,uniform_random,0.18,28624,28601,1000.0,5674.679207,6674.679207,6.6746792070000005,4.015314,0.17875625,8.60565
Ring,uniform_random,0.2,31808,31785,1000.0,5691.033506,6691.033506,6.691033506,4.0112,0.19865625,9.55755
Ring,uniform_random,0.25,39977,39949,1000.0,5735.950837,6735.950837,6.735950837000001,4.001777,0.24968125,11.9937
Ring,uniform_random,0.3,47961,47931,1000.0,5796.686904,6796.686904,6.796686904,3.989652,0.29956875,14.36035
Ring,uniform_random,0.35,55753,55717,1000.0,5876.016297,6876.016297,6.8760162970000005,3.991547,0.34823125,16.6978
Ring,uniform_random,0.4,63612,63567,1000.015731,5978.219831,6978.235562,6.978235562,3.99989,0.39729375,19.07705
Ring,uniform_random,0.45,71627,71577,1000.0,6167.623678,7167.623678,7.167623678,4.004135,0.44735625,21.4975
Ring,uniform_random,0.5,1396,1268,1082.413249,7054.810726,8137.223975,8.137223975,3.903785,0.007925,0.38925
